序號,學科術語,參考解釋,第1階段,第2階段,第3階段,第4階段,第5階段,臺灣台語詞彙,臺羅
101435,消費者文教基金會,為一公益性的財團法人組織。創立於民國69年11月1日，以保護消費者權益，提供消費者資訊為宗旨，簡稱「消基會」。,,,健康與體育-健康與體育,社會-公民與社會,,消費者文教基金會,Siau-huì-tsiá Bûn-kàu Ki-kim-huē
101436,消費者服務專線1950,政府於民國88年12月6日規劃建置，消費者如有任何消費問題要諮詢，可於上班時間（不含午休）撥打全國消費者服務專線1950，各地方政府消費者服務中心有專人提供專業及熱忱的諮詢服務。,,,健康與體育-健康與體育,社會-公民與社會,,消費者服務專線1950,siau-huì-tsiá ho̍k-bū tsuan-suànn it kiú ngóo khòng
101437,消費權益,指消費者依法享有的權利及該權利受到保護時而給消費者帶來的應得利益。其核心是消費者的權利，在廣義上，消費者的權利已包含了消費者的利益，前者的有效實現是後者實現的前提和基礎。,,,社會-社會 健康與體育-健康與體育,社會-公民與社會,,消費權益,siau-huì khuân-ik siau-huì kuân-ik
101438,特有種,指特有性之現象或性質，指「因歷史、生態或生理因素等原因，造成其分布僅侷限於某一特定的地理區域或大陸，而未在其他地方中出現」的物種。,,,自然科學-自然科學,,自然科學-生物,特有種,ti̍k-iú-tsíng ti̍k-iú-tsióng
101439,特色產業,具有地方特色之產業。,,,社會-社會,,,特色產業,ti̍k-sik sán-gia̍p
101440,特徵,事物特殊的徵象、標誌。,,自然科學-自然科學,,自然科學-理化,,特徵,ti̍k-ting
101441,班刊,班級刊物。,,,語文-國語文,,,班刊,pan-khan
101442,班級,現行教育制度上的一種編制。學校按學生的年齡或程度，把若干人合在一起以便教學所編成的單位。,,社會-社會,,,,班級 班,pan-kip pan
101443,班級公約,在學校班級中，於特定事項，所擬訂共同遵守的條約或章程。,,社會-社會,社會-社會,,,班級公約,pan-kip kong-iok
101444,班級自治,在班級的體系中，有適當的組織，讓學生彼此各職所司，分工合作，班務了合理的分配，班級的經營才能順利推動，因此強化班級組織，運用同儕力量，可以使伭位學生有榮辱與共、與整個班級緊尋相連的感覺。至於分工的部分，可由學生自選或自己決定。,,社會-社會,,,,班級自治,pan-kip tsū-tī
101445,班級幹部,經民主程序產生並賦予職位，以協助教師教學、班級經營及推動學校相關事務之學生。,,社會-社會,,,,班級幹部,pan-kip kàn-pōo
101446,班會,在各級學校中，由全班同學共同參加的定期集會，通常一週舉行一次。,,社會-社會,,社會-公民與社會,,班會,pan-huē
101447,琉球嶼,俗稱小琉球，為中華民國屏東縣東港鎮西南方的珊瑚礁島嶼。全島面積6.802平方公里。目前全境均屬中華民國屏東縣琉球鄉管轄，亦納入大鵬灣國家風景區範圍之內。,,,社會-社會,,,小琉球,Sió-liû-khiû Sió-liû-kiû
101448,留言條,用書面形式留下要說的話的文書。,語文-國語文,,,,,留言字條,liû-giân jī-tiâu
101449,畜牧業,飼養及繁殖家禽、牲畜，以取得禽、畜產品或役力的生產事業。如乳、肉、蛋、毛、皮、羽、骨等產品及役力與有機肥料。目前的畜牧業大多朝向集約化、機械化及自動化發展。,,社會-社會,社會-社會,社會-地理,社會-地理,畜牧業,thiok-bo̍k-gia̍p
101450,疾病,病症的總稱。指人的生理或心理違反常態的現象。,健康與體育-健康與體育,健康與體育-健康與體育,社會-社會 綜合活動-綜合活動 健康與體育-健康與體育,健康與體育-健康教育,,病疼 症頭,pēnn-thiànn tsìng-thâu
101451,病句,未符合語法規則的句子，或者是邏輯上矛盾的句子。,,語文-國語文,語文-國語文,,,病句,pēnn-kù
101452,病毒,一種能使有機體致病的細小微生物。僅能由電子顯微鏡觀察到。沒有生殖能力，只能在活寄主的細胞內增殖。,,,自然科學-自然科學,,自然科學-生物,病毒,pēnn-to̍k
101453,病媒蚊,傳播病原導致傳染疾病的蚊子。如三斑家蚊是傳染日本腦炎的病媒蚊、埃及斑蚊是傳播登革熱的病媒蚊。,,社會-社會 健康與體育-健康與體育,,健康與體育-健康教育,,病媒蠓,pēnn-muî-báng
101454,真分數,分子小於分母的分數。,,數學-數學,,數學-數學,,真分數,tsin-hun-sòo
101455,砝碼,以天平稱物時，用來計算重量的標準器，用銅鉛等金屬製成，有輕重大小的差別。也作「法馬」、「法碼」。,,,自然科學-自然科學,自然科學-理化,自然科學-物理,磅子,pōng-tsí
101456,破折號（──）,一種標點符號。表示語意的轉變、聲音的延續、時空的起止，或用為夾注號，其符號為「──」。,,語文-國語文,,語文-國語文,,轉折號,tsuán-tsiat-hō
101457,破題,1.一種作文方法。一開頭就直截了當地揭示題旨，以後再分別加以說明。 2.指唐宋人應舉詩賦和經義及明清八股文的起首，用一兩句話說破題目的要義。,,,,語文-國語文,,破題,phò-tê phuà-tê
101458,祖先崇拜,指一種供奉、祭祀祖先，類似宗教儀式與習慣的行為。,,,,,社會-歷史,祖先崇拜,tsóo-sian tsông-pài
101459,祖籍,祖先的原籍。,,,,社會-歷史,社會-歷史,祖籍,tsóo-tsi̍k
101460,祖靈,臺灣原住民對於祖先、天地萬物、自然界現象等的稱呼。,,社會-社會,社會-社會,社會-歷史,社會-歷史,祖靈,tsóo-lîng
101461,祖靈祭,泰雅語稱為Ps l kautas。泰雅族舉行祖靈祭的時間，大都在粟和黍的收割期後（大約在8、9月之間），才獻上一年之中辛勞所得到的五穀雜糧。,,社會-社會,社會-社會,社會-歷史,,祖靈祭,Tsóo-lîng-tsè
101462,祝福語,希望對方得到福分的話語。,語文-國語文,,,語文-國語文,,祝福語,tsiok-hok-gí
101463,神社,1.古代祭祀社神的場地。也指祭祀先祖的宗廟。 2.日本神道教的信仰中心。也指祭神活動的場所。,,,,,社會-歷史,神社,sîn-siā
101464,粉蠟筆,又稱油性粉彩、油粉彩，是一種繪畫工具，由顏料、蠟、油等原料所製成，沒有任何粉狀顏料，具有類似蠟筆的特點，但材質較軟，顏色較濃也較亮，可以疊色與混色，變化豐富，而且可與松節油混合彩繪，所以重塗後會產生如油畫般的效果。,,藝術-藝術,,,,粉蠟筆,hún-la̍h-pit
101465,納稅,繳納稅賦。,,,社會-社會,社會-歷史,,納稅,la̍p-suè
101466,紙片,碎裂的片狀紙張。,,藝術-藝術,,,,紙片,tsuá-phìnn
101467,紙片拼貼,將只撕成紙片，用以拼貼的方式進行創作。,,藝術-藝術,,,,紙片拼貼,tsuá-phìnn phing-tah
101468,紙黏土,一種以紙纖維為主要原料的黏土。可捏成各種人物、動物及器物造型，作法是以黏土捏成心目中的造型後，以水撫拭，使其光滑，且放置在室內陰涼處，待其自然風乾，再以水彩或廣告顏料塗上適當的顏色，最後塗上亮光漆，即可永久保存。,,藝術-藝術,藝術-藝術,,,紙黏塗,tsuá-liâm-thôo
101469,級進,前後兩個音的音程為二度，如C進行到D（大二度常等於自然音階的「全音」，小二度常等於自然音階的「半音」）。,,藝術-藝術,,,,級進,kip-tsìn
101470,素描,用單色描繪而不敷彩的畫。畫家為磨練基礎用的石膏素描及人體素描，為探求繪畫的構圖與造形而用單色表現的草稿，都稱為「素描」。常用木炭、鉛筆、毛筆、鋼筆等作為工具。,,藝術-藝術,藝術-藝術,藝術-視覺藝術,,素描,sòo-biô sòo-biâu
101471,翅膀,鳥類及昆蟲的翼。,,自然科學-自然科學,,自然科學-生物,,翼,si̍t
101472,耕者有其田,民生主義解決土地問題的政策。要點是減低田租，保障農民收入，切實扶植自耕農，使其有自己的田地可以耕種。自民國42年起實施。,,,社會-社會,社會-歷史,社會-歷史,耕者有其田,king--tsiá iú kî tiân
101473,胸部,動物頸部以下，腹部以上的部位。,,自然科學-自然科學,,自然科學-生物,,胸部 胸坎,hing-pōo hing-khám
101474,胸鰭,位於魚類胸部左右兩側的魚鰭，用以划水。,,自然科學-自然科學,,自然科學-生物,,魚擛,hî-ia̍t
101475,能量,物體或力場所具有的作功能力，即稱為該物體或力場具有的能量。,,,自然科學-自然科學,自然科學-理化,自然科學-生物,能量,lîng-liōng
101476,能源,可以產生能量的物質。一般可分三類：一、已開發的能源。如水力、煤、石油、天然氣。二、已確定的能源，但未大量開發者。如地熱、沼氣。三、替代性能源，正在研究開發者。如太陽能、風能、潮汐能等。,,健康與體育-健康與體育 自然科學-自然科學,社會-社會,,社會-地理 自然科學-化學,能源,lîng-guân
101477,能源危機,能源短缺所造成的危機。,,,社會-社會,,社會-歷史,能源危機,lîng-guân guî-ki
101478,草,草本植物的總稱。,,,自然科學-自然科學,,,草,tsháu
101479,草本莖,凡是植物的莖是柔軟或易折而且橫切面沒有年輪，就稱為草本莖。,,自然科學-自然科學,,,,草本莖,tsháu-pún-king
101480,草食動物,以植物為食料的動物。活在陸地上的草食性動物，主要為昆蟲、囓齒類動物以及蹄類動物，活在海洋中的為甲殼類。,,自然科學-自然科學,,,,草食動物,tsháu-si̍t tōng-bu̍t
101481,草原,1.雨量較少，僅生長耐旱短草的平原。多位於熱帶及沙漠之間。 2.泛指長滿青草的原野。,,,自然科學-自然科學,,,草埔,tsháu-poo
101482,草書,書體名。為書寫方便、快速而產生的字體，大約起於漢代。初創時稱為「章草」。將隸書草率寫成，簡省點畫，保存波勢。其字個個分離不相連綿。至漢末，相傳張芝脫去章草中保留的隸書筆畫形跡，而筆勢連綴，上下兩字時時相連，形成「今草」，即後世通行的「草書」。也稱為「草體」、「草字」。,,,語文-國語文,語文-國語文,,草書 草字,tshó-su tshó-jī
101483,記敘,記載敘述。,,語文-國語文,,語文-國語文,語文-國語文,記敘,kì-sū
101484,記敘文,文體名。泛指敘事、記人、寫景、狀物一類的文章。亦可包括日記、譜表一類文字。,,語文-國語文,語文-國語文,,語文-國語文,記敘文,kì-sū-bûn
101485,記憶力考驗,運用觀察力把事情看仔細，嘗試以身體的動作幫助大腦組織訊息。,,藝術-藝術,,,,記性考驗 記持考驗,kì-sìng khó-giām kì-tî khó-giām
101486,退位減法,當被減數中的個位數不夠減時，便要向十位數借一；這時該位數馬上變成10，並且可與個位數結合再消去減數中的個位數。,數學-數學,,,,,退位減法,thè-uī kiám-huat
101487,退潮,在海洋潮汐中，海面的水位由高至低逐漸下降的期間。,,,自然科學-自然科學,,自然科學-地球科學,洘流 退流,khó-lâu thè-lâu
101488,逆時針方向,和時針旋轉相反的方向。,數學-數學,,,,,逆時針方向,gi̍k-sî-tsiam hong-hiòng
101489,酒精,一種化學有機化合物。乙醇的通稱。無色易燃，有特殊氣味的液體，可溶於水。可用發酵方法，或用乙烯加硫酸和水反應取得。是石油工業的重要產品，其用途廣泛，可用來燃燒、消毒及當溶劑使用，也是酒類的基本成分。,,,自然科學-自然科學,自然科學-理化,自然科學-生物,酒精,tsiú-tsing
101490,酒精燈,以酒精為燃料的加熱儀器。常用於化學實驗。,,,自然科學-自然科學,自然科學-理化,自然科學-化學,酒精燈,tsiú-tsing-ting
101491,除（÷）,數學上的運算方法之一。用一數把另一數分成若干等分。符號以「÷」表示。,,數學-數學,,,,除,tî
101492,除法,數學上的運算方法之一。即用乙數把甲數分成若干等分，甲數稱為「被除數」，乙數稱為「除數」。,,數學-數學,,數學-數學,數學-數學,除法,tî-huat
101493,除法估算,除法的估計盤算，以得一個概數。,,數學-數學,,,,除法估算,tî-huat kóo-sǹg
101494,除法算式,紀錄除法計算時所列出的式子。,,數學-數學,,,,除法算式,tî-huat sǹg-sik
101495,除號（÷）,數學上表示除法的符號，以「÷」表示。,,數學-數學,,,,除號,tî-hō
101496,除數,數學上指兩數相除，用來除被除數的數，稱為「除數」。如15÷3＝5，則3為除數。,數學-數學,,,數學-數學,數學-數學,除數,tî-sòo
101497,飢餓問題,"飢餓問題可簡單區分為緊急情況造成的飢餓問題以及日常營養不足兩者，若是長期每日攝取熱量遠低於2,100卡路里，便被視為日常營養不足，日常營養不足更為肆虐，其所造成的影響更為廣泛。",,,社會-社會,,,飢餓問題 枵飢問題,ki-gō būn-tê iau-ki būn-tê
101498,馬步,兩腿分開，超過肩寬，採半蹲姿勢。,健康與體育-健康與體育,健康與體育-健康與體育,健康與體育-健康與體育,健康與體育-體育,,馬勢 跤馬,bé-sè kha-bé
101499,馬拉松,馬拉松賽跑的簡稱。一種長距離賽跑項目。馬拉松（Marathon）位於希臘雅典東部35公里處，為馬拉松賽跑的起源地。西元前490年，希臘與波斯交戰，希臘人斐德匹第斯為傳達希臘捷報，自馬拉松跑赴雅典，力竭而死，日後特舉行長途賽跑以為紀念。,,健康與體育-健康與體育,健康與體育-健康與體育,健康與體育-體育,,馬拉松,ma-lá-sóng
101500,馬祖,島名。位於福建省閩江口東北，屬連江縣。簡稱為「馬祖」。由南竿、北竿、大坵、高登、西引等十九個小島組成，總面積三十四平方公里，控福州對外交通的要衝，扼閩江出入的門戶。現由我軍駐守，島上山嶺起伏，以漁業及水產養殖業為主。也稱為「馬祖列島」、「馬祖群島」。,,,社會-社會,社會-地理,社會-地理 社會-歷史,馬祖,Má-tsóo
101501,馬祖列島,島名。位於福建省閩江口東北，屬連江縣。簡稱為「馬祖」。由南竿、北竿、大坵、高登、西引等19個小島組成，總面積34平方公里，控福州對外交通的要衝，扼閩江出入的門戶。現由我軍駐守，島上山嶺起伏，以漁業及水產養殖業為主。也稱為「馬祖群島」。,,,社會-社會,,社會-歷史,馬祖列島,Má-tsóo Lia̍t-tó
101502,馬偕牧師,加拿大首位海外宣教師，建立北臺灣基督長老教會，他所建立的醫院和學校，也成為臺灣現代化的里程碑，對啟迪民智、開通思想和變換社會風氣，均有深遠之貢獻。,,,社會-社會,社會-歷史,社會-歷史,馬偕牧師,Má Kai bo̍k-su
101503,馬達,一種能將電能轉變為機械能的發動機。主要功能是產生動力，基本構造與發電機差不多。廣用於電扇、電車等，是近代工業上的重要動力裝備。又稱電動機。,,自然科學-自然科學,,自然科學-理化,,mòo-tà,mòo-tà
101504,馬關條約,清朝光緒20年（西元1894年）發生「甲午戰爭」，清廷戰敗，簽訂馬關條約。,,,社會-社會,社會-歷史,社會-歷史,馬關條約,Má-kuan Tiâu-iok
101505,高,物體直立時上下的長度。,數學-數學,,數學-數學,數學-數學,數學-數學,懸,kuân
101506,高山,高聳的山陵。,,,自然科學-自然科學,,,懸山,kuân suann
101507,高山族,臺灣原住民族正名前的舊稱，為相對於平埔族的稱呼。漢族移民稱居住於平原地區的原住民叫「平埔族」，對居住於近山地區或山區的原住民則稱為「高山族」，日治時代稱為「高砂族」。高山族則保存較多傳統的語言及文化，昔日多以初級農耕兼漁獵為生。,,,社會-社會,社會-歷史,社會-歷史,高山族,Ko-san-tso̍k Ko-suann-tso̍k
101508,高亢,態度高傲亢直或聲調、情緒高昂激動。,,藝術-藝術,,,,懸閣強,kuân koh kiông
101509,高位,位值表上較大的位值。例如1789中1為高位。,數學-數學,,數學-數學,,,懸位,kuân-uī
101510,高屏溪,"高屏溪原名下淡水溪，發源於中央山脈玉山附近，流經高雄市、屏東縣，於林園區及新園鄉注入臺灣海峽，全長171公里，流域面積3,257平方公里，其主要支流有荖濃溪、旗山溪、隘寮溪、濁口溪、美濃溪，其中以荖濃溪及旗山溪為最大。",,,社會-社會,社會-地理,,高屏溪 下淡水溪,Ko-pîn-khe Ē-tām-tsuí-khe
101511,高度,1.地面高出平均海平面的垂直距離，也稱為「海拔」。 2.物體由底部到頂端的長度。,,,自然科學-自然科學,,,懸度,kuân-tōo
101512,高度角,即從一點至觀測目標的方向線與水平面間的夾角。是三角高程測量中計算兩點間高差的主要觀測量。,,,自然科學-自然科學,自然科學-地球科學,,懸度角,kuân-tōo-kak
101513,高科技產業,研究開發費用占總產值（或銷售額）的比重、科技人員占總雇員的比重、高科技占產業的比重皆高的產業，如通訊設備、生物科技等，通常相對於傳統產業。,,,社會-社會,社會-地理,社會-地理 社會-歷史,高科技產業,ko-kho-ki sán-gia̍p
101514,高科技製造業,需要高水準人才和設備的精密工業技術，以生產貨品、謀取利潤為主要目的的行業。,,,社會-社會,,,高科技製造業,ko-kho-ki tsè-tsō-gia̍p
101515,高音域,指某一樂器或人聲歌唱所能發出的最高音的範圍。,,藝術-藝術,,,,高音域,ko-im-hi̍k ko-im-i̍k
101516,高音譜記號,在五線譜上用來標示音符所在位置為高音之符號。,,藝術-藝術,,,,高音譜記號,ko-im-phóo kì-hō
101517,高氣壓中心,高氣壓指比周圍的氣壓高的地點而言，其中氣壓最高的地點，叫作高氣壓中心。,,,自然科學-自然科學,,自然科學-地球科學,高氣壓中心,ko-khì-ap tiong-sim
101518,高速公路,專供汽車高速行駛的高級道路。出入口完全控制，中央分隔雙向行駛，除起訖點外，並與其他道路立體交叉。,,社會-社會,社會-社會,社會-地理 社會-歷史,社會-地理 社會-歷史,高速公路,ko-sok kong-lōo
101519,高速鐵路,比一般鐵路速度快、運量大、用地省的鐵路運輸系統。使用電力驅動，時速在兩百公里以上。,,社會-社會,社會-社會,,社會-歷史,高速鐵路,ko-sok thih-lōo
101520,高齡化社會,在全部人口中，老年人占相當高比例的社會。根據世界衛生組織的界定，一個國家65歲以上人口比例超過總人口7%以上稱為高齡化社會（ageing society），14%以上稱為高齡社會（aged society），20%以上稱為超高齡社會（super aged society）。高齡化社會的特徵包括總勞動人口減少、生產力下降，以及老人福利支出比例增加等。,,,社會-社會,社會-地理 社會-公民與社會,社會-地理 社會-公民與社會,高齡化社會,ko-lîng-huà siā-huē
101521,乾電池,一種不需液態電解液的電池。是以鋅板製成圓筒作陰極，碳棒在筒中為陽極，中間填滿二氧化錳、石墨、氯化銨和澱粉漿等的糊狀物質作電解液，組合便成乾電池，電壓約為1.5伏特。,,自然科學-自然科學,,自然科學-理化,自然科學-化學,焦電池,ta-tiān-tî
101522,假分數,分子等於或大於分母的分數。,,數學-數學,,數學-數學,,假分數,ké-hun-sòo
101523,假借,六書之一。語言中某些字有音無字形，而借用同音字來表達。如「而」字本是長於兩頰的鬍子，後借為連接詞。,,,語文-國語文,,,假借,ká-tsioh ká-tsià
101524,假設句,前句說明假設的情況，後句說明假設狀況實現時，所產生的結果的複句。,,,語文-國語文,,,假設句,ká-siat-kù
101525,偏見,不公平或固執的見解。,,,健康與體育-健康與體育,社會-公民與社會,社會-公民與社會,偏見,phian-kiàn
101526,偏旁,泛指漢字合體字的上下左右任一部分。,,語文-國語文,,,,字爿,jī-pîng
101527,偏轉,物體受外力作用而改變方向或位置。,,,自然科學-自然科學,自然科學-理化,,偏轉,phian-tsuán
101528,做數,請學生畫出或擺放相同數量物品的學習方式。,數學-數學,,,,,做數,tsò-sòo
101529,停留記號,又稱延長記號。若記在小節線上，或音符與音符之間時，表示樂曲的進行，停止極短的時間。若記在複縱線上，又稱為終止記號或停止記號，表示樂曲的結束。若記在音符或休止符止，則稱為延長記號。拍數要適當延長，習摜上延長一倍或一倍半。,,藝術-藝術,,,,停留記號,thîng-liû kì-hō
101530,停頓,中止或暫停。,語文-國語文,,,語文-國語文,,頓蹬 停頓,tùn-tenn thîng-tùn
101531,健走,一種健身運動，通常在戶外進行，行走時抬頭、挺胸、縮腹、上身略微前傾、擺動雙臂，以較快速度大步前進。,健康與體育-健康與體育,健康與體育-健康與體育,,,,半行走,puànn-kiânn-tsáu
101532,側芽,植物之芽，是未伸展之枝、葉、花或花序的幼態，若其著生於小枝之側方而非頂端，即稱側芽。側芽多著生葉腋，也稱為「腋芽」。但某些植物之腋芽著生位置會上移成腋上生。,,自然科學-自然科學,,,,側芽,tshik-gê
101533,側面,旁邊的一面。,數學-數學,,,數學-數學,,邊面,pinn-bīn pian-bīn
101534,偵探小說,以偵探事件為題材的小說。描寫案件發生的經過和破案過程，通常情節曲折離奇，引人入勝。,,,語文-國語文,,,偵探小說,tsing-thàm sió-suat tsing-thàm siáu-suat
101535,偶數,雙數。即凡能以2除盡的數。相對於奇數而言。,數學-數學,數學-數學,,數學-數學,數學-數學,雙數,siang-sòo
101536,偷渡,非法出境或入境。,,,社會-社會,社會-歷史,社會-歷史,偷渡,thau-tōo
101537,剪紙,一種我國傳統民間藝術。運用不同的剪貼和摺疊方法，剪出各種花樣。多用作喜慶裝飾或窗花、燈花等，現代亦用作裝飾品。,,藝術-藝術,,,,剪紙,tsián-tsuá
101538,副標題,一篇文章中，寫於標題下方，用以補充標題內容的文字。,,,語文-國語文,,,副標題,hù-piau-tê hù-phiau-tê
101539,副熱帶氣候,副熱帶氣候，又稱為亞熱帶季風氣候或中國型氣候，其特點是夏季高溫並多雨，冬季較同緯度地區溫暖濕潤。主要分布於緯度在20°─35° 之間的大陸東部。 氣候特徵：夏季高溫多雨，冬季溫和少雨。,,,社會-社會,,,副熱帶氣候,hù-jia̍t-tài khì-hāu
101540,副熱帶氣候區,副熱帶氣候，又稱為亞熱帶氣候或中國型氣候，其特點是夏季高溫並多雨，冬季較同緯度地區溫暖濕潤。主要分布於緯度在20°－35°之間的大陸東部。 ,,,社會-社會,,,副熱帶氣候區,hù-jia̍t-tài khì-hāu-khu
101541,動力,使機械運動、作功的作用力，如人力、風力、水力、熱力、原子能均為動力來源。,,自然科學-自然科學,,,,動力,tōng-li̍k
101542,動力來源,使機械運動、作功的作用力，如人力、風力、水力、熱力、原子能均為動力來源。,,自然科學-自然科學,,自然科學-理化,,動力來源,tōng-li̍k lâi-guân
101543,動作,行為、態勢。,,藝術-藝術,,,,動作,tōng-tsok
101544,動物,相對於植物的另一大類生物。多可自行攝食有機物以維生，有神經、感覺，並具運動能力。生存範圍遍及世界各處。,健康與體育-健康與體育 社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,社會-社會 綜合活動-綜合活動 健康與體育-健康與體育,綜合活動-綜合活動,健康與體育-健康教育 自然科學-生物,自然科學-生物,動物,tōng-bu̍t
101545,動物保護協會,以保護動物為目的所成立的組織。,,社會-社會,,,,動物保護協會,tōng-bu̍t pó-hōo hia̍p-huē
101546,動物傳播,此類植物的種子或果實常具有好蚩或有特殊吸附植物的方法，由動物的食用後丟棄或排泄，或動物的皮毛、衣物沾黏造成的不適走到一處撥下除去而傳播，例如各種好吃的水果就是藉著被吃而傳播；鬼針草、羊帶來（蒼耳）則是以黏附方式為主。,,自然科學-自然科學,,,,動物傳播,tōng-bu̍t thuân-pòo tōng-bu̍t thuân-pò
101547,動詞,表示人、物的行為、動作或事件的發生之詞，如鳴、見、有、會等。從動詞有無接受之對象來分，有外動詞、內動詞兩類；從它與其他動詞連用與否來分，則有一般動詞與助動詞兩類。也稱為「動字」、「謂詞」。,,語文-國語文,語文-國語文,語文-國語文,,動詞,tōng-sû
101548,動滑輪,滑輪的輪子可轉動但位置不固定，能隨物體的移動而移動，可達到省力或方便工作,,,自然科學-自然科學,自然科學-理化,,動滑輪,tōng-ku̍t-lûn
101549,動態描寫,對活動變化的事物進行的描寫。,,語文-國語文,,,,動態描寫,tōng-thài biô-siá tōng-thài biâu-siá
101550,動態感,一種運動的視覺感受效果。,,藝術-藝術,,,,動態感,tōng-thài-kám
101551,區公所,次於市的地方自治組織。設區長一人，綜理全區政務，並承市長之命，辦理自治行政及各項交辦事務。,,社會-社會,社會-社會,,社會-公民與社會,區公所,khu-kong-sóo
101552,區域特色,任一地區之事物所表現出獨特的色彩風格等。,,,社會-社會,,,區域特色,khu-hi̍k ti̍k-sik khu-i̍k ti̍k-sik
101553,參考體,參考體是用來確定物體的位置和描述它的機械運動而選作標準的另一個物體。為了用數值表達一個物體的位置，可在參考體上設置坐標系，稱為參考坐標系。參考系和參考坐標系都可以任意選擇，但同一個運動在不同參考系中的表現形式是不同的。,,自然科學-自然科學,,,,參考體,tsham-khó-thé
101554,參政權,人民參與政事的權利。如選舉、罷免、創制、複決等。,,,社會-社會,社會-公民與社會,,參政權,tsham-tsìng-khuân tsham-tsìng-kuân
101555,參宿七,參宿七，在拜耳命名法中稱為獵戶座β，是獵戶座中最亮的恆星，並且是全天第7亮星，它的視星等為0.12等。,,,自然科學-自然科學,自然科學-地球科學,,參宿七,Tsham-siù-tshit Sim-siù-tshit
101556,參宿四,參宿四也就是拜耳命名法中著名的獵戶座α，是全天第九亮星，也是獵戶座第二亮星，只比鄰近的參宿七（獵戶座β）暗淡一點。它是明顯的紅色半規則變星，視星等在0.2至1.2等之間變化著，是變光幅度最大的一等星。這顆恆星標示著冬季大三角的頂點和冬季六邊形的中心。,,,自然科學-自然科學,自然科學-地球科學,,參宿四,Tsham-siù-sì Sim-siù-sì
101557,商,某數以他數除之所得的數值。,,數學-數學,,數學-數學,數學-數學,商,siong
101558,商業,代表一種經由組織提供顧客商品與服務的行為，亦指從事此類行為機構之統稱，但亦有將商業侷限於從事流通業之行為或機構。,,,社會-社會,社會-地理 社會-歷史,,商業,siong-gia̍p
101559,商調式,樂曲的起調或結束，以商音為主音的調式稱為「商調式」。 ,,,藝術-藝術,,,商調式,siong-tiāu-sik
101560,問句,表示詢問或反問的語句。,語文-國語文,,語文-國語文,語文-國語文,,問句,būn-kù mn̄g-kù
101561,問候語,探問人的起居的話語。,語文-國語文,,,語文-國語文,,問候語,būn-hāu-gí
101562,問號（？）,一種標點符號。用在疑問句之後，其符號為「？」。,語文-國語文,語文-國語文,,語文-國語文,,問號  問點,būn-hō mn̄g-hō mn̄g-tiám
101563,國民教育,全體國民所應接受的基本教育，以養成基本的生活智能及國民道德，且具有義務教育的性質。,,,社會-社會,社會-公民與社會,社會-歷史,國民教育,kok-bîn kàu-io̍k
101564,國民義務教育,全體國民所應接受的基本教育。自民國57學年度開始，我國義務教育由6年延至9年，前6年為國民小學，後3年為國民中學。民國71年4月30日，立法院通過「強迫入學修正案」，明定6歲到15歲國民應強迫接受國民教育，否則得科父母或監護人新臺幣300元以下罰鍰，並得連續科罰至入學為止。其宗旨在培養健全國民，使具有基本的生活知能及國民道德。,,,社會-社會,社會-公民與社會,社會-歷史,國民義務教育,kok-bîn gī-bū kàu-io̍k
101565,國字,本國的文字。,語文-國語文,,語文-國語文,,,漢字,hàn-jī
101566,國姓爺,鄭成功臣事明唐王，賜姓朱，故稱為「國姓爺」。,,,社會-社會,社會-歷史,,國姓爺,Kok-sìng-iâ
101567,國定古蹟,國家所制定或核定的古代流傳下來的遺蹟。,,,社會-社會,社會-地理,,國定古蹟,kok-tīng kóo-tsik
101568,國家公園,設定國家某處具有特殊自然環境的區域，且不小於一萬公頃面積的範圍為國家級的公園。目的在保護此區域內特有的自然景觀、野生物與史蹟，並供國的育樂及研究。,,,社會-社會,社會-地理,,國家公園,Kok-ka Kong-hn̂g
101569,國語家庭,國語家庭為臺灣日治時期一家所有成員在家都講日語的家庭。認定方法採申請制，通過申請者即成為國語家庭，可獲得證書、獎章及刻有「國語家庭」字樣的門牌。「國語家庭」在當時不僅只是口頭讚賞，也會給予一些實質的優惠。,,,社會-社會,,社會-歷史,國語家庭,kok-gí ka-tîng
101570,國語傳習所,國語傳習所是1896年到1898年，臺灣日治時期的臺灣總督府於臺灣實施的基礎教育學制與場所。此學制或場所的制定或設立，確定日本統治者對臺灣在「放任驅逐」與「同化」兩教育政策中，選擇了後者。國語傳習所也成為臺灣首個西式教育的學校，更成為後來公學校的前身。因當時臺灣已屬日本領土，國語傳習所一詞中的「國語」即為日本語。,,,,,社會-歷史,國語傳習所,kok-gí thuân-si̍p-sóo
101571,國際公約,國與國之間對於特定事項，擬訂共同遵守的條約或章程。,,,社會-社會,社會-公民與社會,,國際公約,kok-tsè kong-iok
101572,國際組織,指三個或以上國家，為實現某方面的共同目標，或解決國與國之間某方面的爭端，依據其締結的條約或其他正式法規而建立的常設性機構，合作性質可涉及政治、經濟、外交、文化、環境、衞生等不同範疇。 國際組織主要分為政府間和非政府間兩類。,,,社會-社會,社會-歷史 社會-公民與社會,社會-歷史 社會-公民與社會,國際組織,kok-tsè tsoo-tsit
101573,國際勞工公約,聯合國為了促進對全世界勞動者的權利的保護所通過的國際標準。,,,社會-社會,,,國際勞工公約,Kok-tsè Lô-kang Kong-iok
