hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
𠕇仁,tīng-jîn,25,tēng-jîn,ting7jin5,teng7jin5,tingjin,tengjin,tj,tj
𠕇仁,tīng-lîn,25,tēng-lîn,ting7lin5,teng7lin5,tinglin,tenglin,tl,tl
𢯾枕,mooh-tsím,25,mo͘h-chím,mooh4tsim2,mooh4chim2,moohtsim,moohchim,mt,mc
𪐞染,tòo-ní,25,tò͘-ní,too3ni2,too3ni2,tooni,tooni,tn,tn
Phóo-meh狗,phóo-meh-káu,16,phó͘-meh-káu,phoo2meh4kau2,phoo2meh4kau2,phoomehkau,phoomehkau,pmk,pmk
Uí-sīr-kih,uí-sīr-kih,16,úi-sīr-kih,ui2sir7kih4,ui2sir7kih4,uisirkih,uisirkih,usk,usk
Uí-sū-kih,uí-sū-kih,16,úi-sū-kih,ui2su7kih4,ui2su7kih4,uisukih,uisukih,usk,usk
a̋m-phái-ah,a̋m-phái-ah,16,ăm-phái-ah,am1phai2ah4,am9phai2ah4,amphaiah,amphaiah,apa,apa
ba̍t-té-lih,ba̍t-té-lih,16,ba̍t-té-lih,bat8te2lih4,bat8te2lih4,battelih,battelih,btl,btl
bok-sìn-gù,bok-sìn-gù,16,bok-sìn-gù,bok4sin3gu3,bok4sin3gu3,boksingu,boksingu,bsg,bsg
e-móo-jih,e-móo-jih,16,e-mó͘-jih,e1moo2jih4,e1moo2jih4,emoojih,emoojih,emj,emj
goo-lú-huh,goo-lú-huh,16,go͘-lú-huh,goo1lu2huh4,goo1lu2huh4,gooluhuh,gooluhuh,glh,glh
gá-suh 爐,gá-suh-lôo,16,gá-suh-lô͘,ga2suh4loo5,ga2suh4loo5,gasuhloo,gasuhloo,gsl,gsl
hah-suh 條,hah-suh-tiâu,16,hah-suh-tiâu,hah4suh4tiau5,hah4suh4tiau5,hahsuhtiau,hahsuhtiau,hst,hst
hah-suh 酥,hah-suh-soo,16,hah-suh-so͘,hah4suh4soo1,hah4suh4soo1,hahsuhsoo,hahsuhsoo,hss,hss
hah-sìr 條,hah-sìr-tiâu,16,hah-sìr-tiâu,hah4sir3tiau5,hah4sir3tiau5,hahsirtiau,hahsirtiau,hst,hst
hah-sìr 酥,hah-sìr-soo,16,hah-sìr-so͘,hah4sir3soo1,hah4sir3soo1,hahsirsoo,hahsirsoo,hss,hss
hoo-mú-láng,hoo-mú-láng,16,ho͘-mú-láng,hoo1mu2lang2,hoo1mu2lang2,hoomulang,hoomulang,hml,hml
hu-lìng-gah,hu-lìng-gah,16,hu-lèng-gah,hu1ling3gah4,hu1leng3gah4,hulinggah,hulenggah,hlg,hlg
hua-lú-bóo,hua-lú-bóo,16,hoa-lú-bó͘,hua1lu2boo2,hoa1lu2boo2,hualuboo,hoaluboo,hlb,hlb
huá-sū-tooh,huá-sū-tooh,16,hóa-sū-to͘h,hua2su7tooh4,hoa2su7tooh4,huasutooh,hoasutooh,hst,hst
khong-tó-luh,khong-tó-luh,16,khong-tó-luh,khong1to2luh4,khong1to2luh4,khongtoluh,khongtoluh,ktl,ktl
khu-lì-mù,khu-lì-mù,16,khu-lì-mù,khu1li3mu3,khu1li3mu3,khulimu,khulimu,klm,klm
khú-khih餅,khú-khih-piánn,16,khú-khih-piáⁿ,khu2khih4piann2,khu2khih4piann2,khukhihpiann,khukhihpiann,kkp,kkp
khőng-niá-kuh,khőng-niá-kuh,16,khŏng-niá-kuh,khong1nia2kuh4,khong9nia2kuh4,khongniakuh,khongniakuh,knk,knk
lè-hù-tooh,lè-hù-tooh,16,lè-hù-to͘h,le3hu3tooh4,le3hu3tooh4,lehutooh,lehutooh,lht,lht
lìn-gòo派,lìn-gòo-phài,16,lìn-gò͘-phài,lin3goo3phai3,lin3goo3phai3,lingoophai,lingoophai,lgp,lgp
ma-sá-lah,ma-sá-lah,16,ma-sá-lah,ma1sa2lah4,ma1sa2lah4,masalah,masalah,msl,msl
oo-mú 卵,oo-mú-nn̄g,16,o͘-mú-nn̄g,oo1mu2nng7,oo1mu2nng7,oomunng,oomunng,omn,omn
phián-khè-khò,phián-khè-khò,16,phián-khè-khò,phian2khe3kho3,phian2khe3kho3,phiankhekho,phiankhekho,pkk,pkk
se-khàn-tooh,se-khàn-tooh,16,se-khàn-to͘h,se1khan3tooh4,se1khan3tooh4,sekhantooh,sekhantooh,skt,skt
sia̋n-bá-tsirh,sia̋n-bá-tsirh,16,siăn-bá-chirh,sian1ba2tsirh4,sian9ba2chirh4,sianbatsirh,sianbachirh,sbt,sbc
sia̍k-siú-khah,sia̍k-siú-khah,16,sia̍k-siú-khah,siak8siu2khah4,siak8siu2khah4,siaksiukhah,siaksiukhah,ssk,ssk
sir-lài-tah,sir-lài-tah,16,sir-lài-tah,sir1lai3tah4,sir1lai3tah4,sirlaitah,sirlaitah,slt,slt
sir-lèr-buh,sir-lèr-buh,16,sir-lèr-buh,sir1ler3buh4,sir1ler3buh4,sirlerbuh,sirlerbuh,slb,slb
su-ìng-gù,su-ìng-gù,16,su-èng-gù,su1ing3gu3,su1eng3gu3,suinggu,suenggu,sig,seg
tshì-sìr餅,tshì-sìr-piánn,16,chhì-sìr-piáⁿ,tshi3sir3piann2,chhi3sir3piann2,tshisirpiann,chhisirpiann,tsp,csp
tshì-sù餅,tshì-sù-piánn,16,chhì-sù-piáⁿ,tshi3su3piann2,chhi3su3piann2,tshisupiann,chhisupiann,tsp,csp
áu-khòo-sirh,áu-khòo-sirh,16,áu-khò͘-sirh,au2khoo3sirh4,au2khoo3sirh4,aukhoosirh,aukhoosirh,aks,aks
ín-khòo-sirh,ín-khòo-sirh,16,ín-khò͘-sirh,in2khoo3sirh4,in2khoo3sirh4,inkhoosirh,inkhoosirh,iks,iks
òo-tah單,òo-tah-tuann,16,ò͘-tah-toaⁿ,oo3tah4tuann1,oo3tah4toann1,ootahtuann,ootahtoann,ott,ott
一壘審,it-luí-sím,16,it-lúi-sím,it4lui2sim2,it4lui2sim2,itluisim,itluisim,ils,ils
一壘手,it-luí-tshiú,16,it-lúi-chhiú,it4lui2tshiu2,it4lui2chhiu2,itluitshiu,itluichhiu,ilt,ilc
一夜干,it-iā-kuann,16,it-iā-koaⁿ,it4ia7kuann1,it4ia7koann1,itiakuann,itiakoann,iik,iik
三不等,sam-put-tíng,16,sam-put-téng,sam1put4ting2,sam1put4teng2,samputting,samputteng,spt,spt
三分球,sann-hun-kiû,16,saⁿ-hun-kiû,sann1hun1kiu5,sann1hun1kiu5,sannhunkiu,sannhunkiu,shk,shk
三壘審,sann-luí-sím,16,saⁿ-lúi-sím,sann1lui2sim2,sann1lui2sim2,sannluisim,sannluisim,sls,sls
三壘手,sann-luí-tshiú,16,saⁿ-lúi-chhiú,sann1lui2tshiu2,sann1lui2chhiu2,sannluitshiu,sannluichhiu,slt,slc
三日賽,sann-ji̍t-sài,16,saⁿ-ji̍t-sài,sann1jit8sai3,sann1jit8sai3,sannjitsai,sannjitsai,sjs,sjs
三日賽,sann-li̍t-sài,16,saⁿ-li̍t-sài,sann1lit8sai3,sann1lit8sai3,sannlitsai,sannlitsai,sls,sls
三殺打,sam-sat-tánn,16,sam-sat-táⁿ,sam1sat4tann2,sam1sat4tann2,samsattann,samsattann,sst,sst
三角錐,sann-kak-tsui,16,saⁿ-kak-chui,sann1kak4tsui1,sann1kak4chui1,sannkaktsui,sannkakchui,skt,skc
三項賽,sann-hāng-sài,16,saⁿ-hāng-sài,sann1hang7sai3,sann1hang7sai3,sannhangsai,sannhangsai,shs,shs
上壘率,tsiūnn-luí-lu̍t,16,chiūⁿ-lúi-lu̍t,tsiunn7lui2lut8,chiunn7lui2lut8,tsiunnluilut,chiunnluilut,tll,cll
上細化,siōng-suè-huà,16,siōng-sòe-hòa,siong7sue3hua3,siong7soe3hoa3,siongsuehua,siongsoehoa,ssh,ssh
上細化,siōng-sè-huà,16,siōng-sè-hòa,siong7se3hua3,siong7se3hoa3,siongsehua,siongsehoa,ssh,ssh
下一步,ē-tsi̍t-pōo,16,ē-chi̍t-pō͘,e7tsit8poo7,e7chit8poo7,etsitpoo,echitpoo,etp,ecp
下半場,ē-puànn-tiûnn,16,ē-pòaⁿ-tiûⁿ,e7puann3tiunn5,e7poann3tiunn5,epuanntiunn,epoanntiunn,ept,ept
下目箍,ē-ba̍k-khoo,16,ē-ba̍k-kho͘,e7bak8khoo1,e7bak8khoo1,ebakkhoo,ebakkhoo,ebk,ebk
下目蚶,ē-ba̍k-ham,16,ē-ba̍k-ham,e7bak8ham1,e7bak8ham1,ebakham,ebakham,ebh,ebh
下頦線,ē-hâi-suànn,16,ē-hâi-sòaⁿ,e7hai5suann3,e7hai5soann3,ehaisuann,ehaisoann,ehs,ehs
下頦角,ē-hâi-kak,16,ē-hâi-kak,e7hai5kak4,e7hai5kak4,ehaikak,ehaikak,ehk,ehk
下頦觳,ē-hâi-khok,16,ē-hâi-khok,e7hai5khok4,e7hai5khok4,ehaikhok,ehaikhok,ehk,ehk
不織布,put-tsit-pòo,16,put-chit-pò͘,put4tsit4poo3,put4chit4poo3,puttsitpoo,putchitpoo,ptp,pcp
中長跑,tiong-tn̂g-pháu,16,tiong-tn̂g-pháu,tiong1tng5phau2,tiong1tng5phau2,tiongtngphau,tiongtngphau,ttp,ttp
主動肌,tsú-tōng-ki,16,chú-tōng-ki,tsu2tong7ki1,chu2tong7ki1,tsutongki,chutongki,ttk,ctk
主機枋,tsú-ki-pang,16,chú-ki-pang,tsu2ki1pang1,chu2ki1pang1,tsukipang,chukipang,tkp,ckp
九層炊,káu-tsàn-tshe,16,káu-chàn-chhe,kau2tsan3tshe1,kau2chan3chhe1,kautsantshe,kauchanchhe,ktt,kcc
九層炊,káu-tsàn-tshue,16,káu-chàn-chhoe,kau2tsan3tshue1,kau2chan3chhoe1,kautsantshue,kauchanchhoe,ktt,kcc
九重粿,káu-tîng-kué,16,káu-têng-kóe,kau2ting5kue2,kau2teng5koe2,kautingkue,kautengkoe,ktk,ktk
九重粿,káu-tîng-ké,16,káu-têng-ké,kau2ting5ke2,kau2teng5ke2,kautingke,kautengke,ktk,ktk
二七仔,jī-tshit-á,16,jī-chhit-á,ji7tshit4a2,ji7chhit4a2,jitshita,jichhita,jta,jca
二七仔,lī-tshit-á,16,lī-chhit-á,li7tshit4a2,li7chhit4a2,litshita,lichhita,lta,lca
二刀流,jī-to-liû,16,jī-to-liû,ji7to1liu5,ji7to1liu5,jitoliu,jitoliu,jtl,jtl
二壘審,jī-luí-sím,16,jī-lúi-sím,ji7lui2sim2,ji7lui2sim2,jiluisim,jiluisim,jls,jls
二壘審,lī-luí-sím,16,lī-lúi-sím,li7lui2sim2,li7lui2sim2,liluisim,liluisim,lls,lls
二壘手,jī-luí-tshiú,16,jī-lúi-chhiú,ji7lui2tshiu2,ji7lui2chhiu2,jiluitshiu,jiluichhiu,jlt,jlc
二壘手,lī-luí-tshiú,16,lī-lúi-chhiú,li7lui2tshiu2,li7lui2chhiu2,liluitshiu,liluichhiu,llt,llc
二進位,jī-tsìn-uī,16,jī-chìn-ūi,ji7tsin3ui7,ji7chin3ui7,jitsinui,jichinui,jtu,jcu
二頭肌,jī-thâu-ki,16,jī-thâu-ki,ji7thau5ki1,ji7thau5ki1,jithauki,jithauki,jtk,jtk
二頭肌,lī-thâu-ki,16,lī-thâu-ki,li7thau5ki1,li7thau5ki1,lithauki,lithauki,ltk,ltk
仙人掌,sian-jîn-tsióng,16,sian-jîn-chióng,sian1jin5tsiong2,sian1jin5chiong2,sianjintsiong,sianjinchiong,sjt,sjc
仙人掌,sian-lîn-tsióng,16,sian-lîn-chióng,sian1lin5tsiong2,sian1lin5chiong2,sianlintsiong,sianlinchiong,slt,slc
伊斯蘭,i-su-lân,16,i-su-lân,i1su1lan5,i1su1lan5,isulan,isulan,isl,isl
伺服器,sù-ho̍k-khì,16,sù-ho̍k-khì,su3hok8khi3,su3hok8khi3,suhokkhi,suhokkhi,shk,shk
住宅區,tsū-the̍h-khu,16,chū-the̍h-khu,tsu7theh8khu1,chu7theh8khu1,tsuthehkhu,chuthehkhu,ttk,ctk
佛卡夏,hoo-khá-tshiah,16,ho͘-khá-chhiah,hoo1kha2tshiah4,hoo1kha2chhiah4,hookhatshiah,hookhachhiah,hkt,hkc
便利貼,piān-lī-tah,16,piān-lī-tah,pian7li7tah4,pian7li7tah4,pianlitah,pianlitah,plt,plt
俗麭𩛩,sio̍k-pháng-kauh,16,sio̍k-pháng-kauh,siok8phang2kauh4,siok8phang2kauh4,siokphangkauh,siokphangkauh,spk,spk
保庇跳,pó-pì-thiàu,16,pó-pì-thiàu,po2pi3thiau3,po2pi3thiau3,popithiau,popithiau,ppt,ppt
保送率,pó-sàng-lu̍t,16,pó-sàng-lu̍t,po2sang3lut8,po2sang3lut8,posanglut,posanglut,psl,psl
保養品,pó-ióng-phín,16,pó-ióng-phín,po2iong2phin2,po2iong2phin2,poiongphin,poiongphin,pip,pip
保鮮膜,pó-sian-mo̍oh,16,pó-sian-mo̍͘h,po2sian1mooh8,po2sian1mooh8,posianmooh,posianmooh,psm,psm
保齡球,pó-lîng-kiû,16,pó-lêng-kiû,po2ling5kiu5,po2leng5kiu5,polingkiu,polengkiu,plk,plk
修容條,siu-iông-tiâu,16,siu-iông-tiâu,siu1iong5tiau5,siu1iong5tiau5,siuiongtiau,siuiongtiau,sit,sit
修容霜,siu-iông-song,16,siu-iông-song,siu1iong5song1,siu1iong5song1,siuiongsong,siuiongsong,sis,sis
修眉刀,siu-bâi-to,16,siu-bâi-to,siu1bai5to1,siu1bai5to1,siubaito,siubaito,sbt,sbt
個人賽,kò-jîn-sài,16,kò-jîn-sài,ko3jin5sai3,ko3jin5sai3,kojinsai,kojinsai,kjs,kjs
個人賽,kò-lîn-sài,16,kò-lîn-sài,ko3lin5sai3,ko3lin5sai3,kolinsai,kolinsai,kls,kls
倒徛騰,tò-khiā-thîng,16,tò-khiā-thêng,to3khia7thing5,to3khia7theng5,tokhiathing,tokhiatheng,tkt,tkt
倒線審,tò-suànn-sím,16,tò-sòaⁿ-sím,to3suann3sim2,to3soann3sim2,tosuannsim,tosoannsim,tss,tss
倖存者,hīng-tsûn-tsiá,16,hēng-chûn-chiá,hing7tsun5tsia2,heng7chun5chia2,hingtsuntsia,hengchunchia,htt,hcc
倚身球,uá-sin-kiû,16,óa-sin-kiû,ua2sin1kiu5,oa2sin1kiu5,uasinkiu,oasinkiu,usk,osk
假khia̋n-sé,ké-khia̋n-sé,16,ké-khiăn-sé,ke2khian1se2,ke2khian9se2,kekhianse,kekhianse,kks,kks
假動作,ké tōng-tsok,16,ké tōng-chok,ke2tong7tsok4,ke2tong7chok4,ketongtsok,ketongchok,ktt,ktc
做散工,tsuè suánn-kang,16,chòe sóaⁿ-kang,tsue3suann2kang1,choe3soann2kang1,tsuesuannkang,choesoannkang,tsk,csk
做散工,tsò suánn-kang,16,chò sóaⁿ-kang,tso3suann2kang1,cho3soann2kang1,tsosuannkang,chosoannkang,tsk,csk
健身房,kiān-sin pâng,16,kiān-sin pâng,kian7sin1pang5,kian7sin1pang5,kiansinpang,kiansinpang,ksp,ksp
側平夯,tshik-pênn-giâ,16,chhek-pêⁿ-giâ,tshik4penn5gia5,chhek4penn5gia5,tshikpenngia,chhekpenngia,tpg,cpg
側平夯,tshik-pînn-giâ,16,chhek-pîⁿ-giâ,tshik4pinn5gia5,chhek4pinn5gia5,tshikpinngia,chhekpinngia,tpg,cpg
側旋踢,tshik-suân-that,16,chhek-soân-that,tshik4suan5that4,chhek4soan5that4,tshiksuanthat,chheksoanthat,tst,cst
偷本壘,thau-pún-luí,16,thau-pún-lúi,thau1pun2lui2,thau1pun2lui2,thaupunlui,thaupunlui,tpl,tpl
傳播鍊,thuân-pò-liān,16,thoân-pò-liān,thuan5po3lian7,thoan5po3lian7,thuanpolian,thoanpolian,tpl,tpl
僻智識,phiah-tì-sik,16,phiah-tì-sek,phiah4ti3sik4,phiah4ti3sek4,phiahtisik,phiahtisek,pts,pts
儀表板,gî-pió-pán,16,gî-pió-pán,gi5pio2pan2,gi5pio2pan2,gipiopan,gipiopan,gpp,gpp
優格奶,iu-keh-ling,16,iu-keh-leng,iu1keh4ling1,iu1keh4leng1,iukehling,iukehleng,ikl,ikl
充電柱,tshiong-tiān thiāu,16,chhiong-tiān thiāu,tshiong1tian7thiau7,chhiong1tian7thiau7,tshiongtianthiau,chhiongtianthiau,ttt,ctt
克流感,khik-liû-kám,16,khek-liû-kám,khik4liu5kam2,khek4liu5kam2,khikliukam,khekliukam,klk,klk
內角球,lāi-kak-kiû,16,lāi-kak-kiû,lai7kak4kiu5,lai7kak4kiu5,laikakkiu,laikakkiu,lkk,lkk
內輪差,lāi-lián-tsha,16,lāi-lián-chha,lai7lian2tsha1,lai7lian2chha1,lailiantsha,lailianchha,llt,llc
內重巡,lāi-tîng-sûn,16,lāi-têng-sûn,lai7ting5sun5,lai7teng5sun5,laitingsun,laitengsun,lts,lts
內野手,lāi-iá-tshiú,16,lāi-iá-chhiú,lai7ia2tshiu2,lai7ia2chhiu2,laiiatshiu,laiiachhiu,lit,lic
全壘打,tsuân-luí-tánn,16,choân-lúi-táⁿ,tsuan5lui2tann2,choan5lui2tann2,tsuanluitann,choanluitann,tlt,clt
冰風暴,ping-hong-pō,16,peng-hong-pō,ping1hong1po7,peng1hong1po7,pinghongpo,penghongpo,php,php
冷智識,líng-tì-sik,16,léng-tì-sek,ling2ti3sik4,leng2ti3sek4,lingtisik,lengtisek,lts,lts
出場數,tshut-tiûnn-sòo,16,chhut-tiûⁿ-sò͘,tshut4tiunn5soo3,chhut4tiunn5soo3,tshuttiunnsoo,chhuttiunnsoo,tts,cts
出手點,tshut-tshiú-tiám,16,chhut-chhiú-tiám,tshut4tshiu2tiam2,chhut4chhiu2tiam2,tshuttshiutiam,chhutchhiutiam,ttt,cct
出賽數,tshut-sài-sòo,16,chhut-sài-sò͘,tshut4sai3soo3,chhut4sai3soo3,tshutsaisoo,chhutsaisoo,tss,css
分析師,hun-sik-su,16,hun-sek-su,hun1sik4su1,hun1sek4su1,hunsiksu,hunseksu,hss,hss
分道喙,pun-tō-tshuì,16,pun-tō-chhùi,pun1to7tshui3,pun1to7chhui3,puntotshui,puntochhui,ptt,ptc
切入,tshiat--ji̍p,16,chhiat--ji̍p,tshiat4jip8,chhiat4jip8,tshiatjip,chhiatjip,tj,cj
切入,tshiat--li̍p,16,chhiat--li̍p,tshiat4lip8,chhiat4lip8,tshiatlip,chhiatlip,tl,cl
刪除線,san-tî-suànn,16,san-tî-sòaⁿ,san1ti5suann3,san1ti5soann3,santisuann,santisoann,sts,sts
刪除線,san-tû-suànn,16,san-tû-sòaⁿ,san1tu5suann3,san1tu5soann3,santusuann,santusoann,sts,sts
刺目眉,tshiah ba̍k-bâi,16,chhiah ba̍k-bâi,tshiah4bak8bai5,chhiah4bak8bai5,tshiahbakbai,chhiahbakbai,tbb,cbb
剪貼簿,tsián-tah-phōo,16,chián-tah-phō͘,tsian2tah4phoo7,chian2tah4phoo7,tsiantahphoo,chiantahphoo,ttp,ctp
副領隊,hù-niá-tuī,16,hù-niá-tūi,hu3nia2tui7,hu3nia2tui7,huniatui,huniatui,hnt,hnt
副食品,hù-si̍t-phín,16,hù-si̍t-phín,hu3sit8phin2,hu3sit8phin2,husitphin,husitphin,hsp,hsp
功能齒,kong-lîng-khí,16,kong-lêng-khí,kong1ling5khi2,kong1leng5khi2,konglingkhi,konglengkhi,klk,klk
加熱薰,ka-jia̍t-hun,16,ka-jia̍t-hun,ka1jiat8hun1,ka1jiat8hun1,kajiathun,kajiathun,kjh,kjh
加熱薰,ka-lia̍t-hun,16,ka-lia̍t-hun,ka1liat8hun1,ka1liat8hun1,kaliathun,kaliathun,klh,klh
助聽器,tsōo-thiann-khì,16,chō͘-thiaⁿ-khì,tsoo7thiann1khi3,choo7thiann1khi3,tsoothiannkhi,choothiannkhi,ttk,ctk
化妝台,huà-tsong-tâi,16,hòa-chong-tâi,hua3tsong1tai5,hoa3chong1tai5,huatsongtai,hoachongtai,htt,hct
化妝棉,huà-tsong-mî,16,hòa-chong-mî,hua3tsong1mi5,hoa3chong1mi5,huatsongmi,hoachongmi,htm,hcm
化妝水,huà-tsong-tsuí,16,hòa-chong-chúi,hua3tsong1tsui2,hoa3chong1chui2,huatsongtsui,hoachongchui,htt,hcc
化妝筅,huà-tsong-tshíng,16,hòa-chong-chhéng,hua3tsong1tshing2,hoa3chong1chheng2,huatsongtshing,hoachongchheng,htt,hcc
化妝鏡,huà-tsong-kiànn,16,hòa-chong-kiàⁿ,hua3tsong1kiann3,hoa3chong1kiann3,huatsongkiann,hoachongkiann,htk,hck
匿名者,li̍k-miâ-tsiá,16,le̍k-miâ-chiá,lik8mia5tsia2,lek8mia5chia2,likmiatsia,lekmiachia,lmt,lmc
十進位,tsa̍p-tsìn-uī,16,cha̍p-chìn-ūi,tsap8tsin3ui7,chap8chin3ui7,tsaptsinui,chapchinui,ttu,ccu
千島醬,tshian-tó-tsiùnn,16,chhian-tó-chiùⁿ,tshian1to2tsiunn3,chhian1to2chiunn3,tshiantotsiunn,chhiantochiunn,ttt,ctc
升利息,sing-lī-sik,16,seng-lī-sek,sing1li7sik4,seng1li7sek4,singlisik,senglisek,sls,sls
半熟卵,puànn-si̍k-nn̄g,16,pòaⁿ-se̍k-nn̄g,puann3sik8nng7,poann3sek8nng7,puannsiknng,poannseknng,psn,psn
半衰期,puàn-sue-kî,16,poàn-soe-kî,puan3sue1ki5,poan3soe1ki5,puansueki,poansoeki,psk,psk
半衰期,puànn-sue-kî,16,pòaⁿ-soe-kî,puann3sue1ki5,poann3soe1ki5,puannsueki,poannsoeki,psk,psk
協同肌,hia̍p-tông-ki,16,hia̍p-tông-ki,hiap8tong5ki1,hiap8tong5ki1,hiaptongki,hiaptongki,htk,htk
卡巴迪,kha-pá-tih,16,kha-pá-tih,kha1pa2tih4,kha1pa2tih4,khapatih,khapatih,kpt,kpt
卵白霜,nn̄g-pe̍h-song,16,nn̄g-pe̍h-song,nng7peh8song1,nng7peh8song1,nngpehsong,nngpehsong,nps,nps
卸妝乳,sià-tsong-jú,16,sià-chong-jú,sia3tsong1ju2,sia3chong1ju2,siatsongju,siachongju,stj,scj
卸妝水,sià-tsong-tsuí,16,sià-chong-chúi,sia3tsong1tsui2,sia3chong1chui2,siatsongtsui,siachongchui,stt,scc
卸妝油,sià-tsong-iû,16,sià-chong-iû,sia3tsong1iu5,sia3chong1iu5,siatsongiu,siachongiu,sti,sci
厚 tshì-sìr,kāu tshì-sìr,16,kāu chhì-sìr,kau7tshi3sir3,kau7chhi3sir3,kautshisir,kauchhisir,kts,kcs
厚 tshì-sù,kāu tshì-sù,16,kāu chhì-sù,kau7tshi3su3,kau7chhi3su3,kautshisu,kauchhisu,kts,kcs
厚喙脣,kāu tshuì-tûn,16,kāu chhùi-tûn,kau7tshui3tun5,kau7chhui3tun5,kautshuitun,kauchhuitun,ktt,kct
厚藻鹽,kāu-tsó-iâm,16,kāu-chó-iâm,kau7tso2iam5,kau7cho2iam5,kautsoiam,kauchoiam,kti,kci
原始碼,guân-sí-bé,16,goân-sí-bé,guan5si2be2,goan5si2be2,guansibe,goansibe,gsb,gsb
去角質,khì kak-tsit,16,khì kak-chit,khi3kak4tsit4,khi3kak4chit4,khikaktsit,khikakchit,kkt,kkc
反曲弓,huán-khiok king,16,hoán-khiok keng,huan2khiok4king1,hoan2khiok4keng1,huankhiokking,hoankhiokkeng,hkk,hkk
古銅粉,kóo-tâng-hún,16,kó͘-tâng-hún,koo2tang5hun2,koo2tang5hun2,kootanghun,kootanghun,kth,kth
叨撚批,lo-lián-phue,16,lo-lián-phoe,lo1lian2phue1,lo1lian2phoe1,lolianphue,lolianphoe,llp,llp
可可仔,khoo-khóo-ah,16,kho͘-khó͘-ah,khoo1khoo2ah4,khoo1khoo2ah4,khookhooah,khookhooah,kka,kka
可樂餅,khó-lo̍k-piánn,16,khó-lo̍k-piáⁿ,kho2lok8piann2,kho2lok8piann2,kholokpiann,kholokpiann,klp,klp
可蘭經,khó-lân-king,16,khó-lân-keng,kho2lan5king1,kho2lan5keng1,kholanking,kholankeng,klk,klk
可麗露,khó-lē-lōo,16,khó-lē-lō͘,kho2le7loo7,kho2le7loo7,kholeloo,kholeloo,kll,kll
台積電,tâi-tsik-tiān,16,tâi-chek-tiān,tai5tsik4tian7,tai5chek4tian7,taitsiktian,taichektian,ttt,tct
右打者,iū-tánn-tsiá,16,iū-táⁿ-chiá,iu7tann2tsia2,iu7tann2chia2,iutanntsia,iutannchia,itt,itc
合氣道,ha̍p-khì-tō,16,ha̍p-khì-tō,hap8khi3to7,hap8khi3to7,hapkhito,hapkhito,hkt,hkt
吉娃娃,tshi-uá-uah,16,chhi-óa-oah,tshi1ua2uah4,chhi1oa2oah4,tshiuauah,chhioaoah,tuu,coo
吊熨機,tiàu-ut-ki,16,tiàu-ut-ki,tiau3ut4ki1,tiau3ut4ki1,tiauutki,tiauutki,tuk,tuk
吐血鯃,thòo-hueh-ngôo,16,thò͘-hoeh-ngô͘,thoo3hueh4ngoo5,thoo3hoeh4ngoo5,thoohuehngoo,thoohoehngoo,thn,thn
吐血鯃,thòo-huih-ngôo,16,thò͘-huih-ngô͘,thoo3huih4ngoo5,thoo3huih4ngoo5,thoohuihngoo,thoohuihngoo,thn,thn
向量圖,hiòng-liōng-tôo,16,hiòng-liōng-tô͘,hiong3liong7too5,hiong3liong7too5,hiongliongtoo,hiongliongtoo,hlt,hlt
和肉佮,hām-bah-kah,16,hām-bah-kah,ham7bah4kah4,ham7bah4kah4,hambahkah,hambahkah,hbk,hbk
和風醬,hô-hong-tsiùnn,16,hô-hong-chiùⁿ,ho5hong1tsiunn3,ho5hong1chiunn3,hohongtsiunn,hohongchiunn,hht,hhc
咖啡因,ka-pi-in,16,ka-pi-in,ka1pi1in1,ka1pi1in1,kapiin,kapiin,kpi,kpi
咖啡磚,ka-pi-tsng,16,ka-pi-chng,ka1pi1tsng1,ka1pi1chng1,kapitsng,kapichng,kpt,kpc
哈士奇,ha-sū-kî,16,ha-sū-kî,ha1su7ki5,ha1su7ki5,hasuki,hasuki,hsk,hsk
哈密瓜,ha-bi̍t-kue,16,ha-bi̍t-koe,ha1bit8kue1,ha1bit8koe1,habitkue,habitkoe,hbk,hbk
哈巴狗,ha-pa-káu,16,ha-pa-káu,ha1pa1kau2,ha1pa1kau2,hapakau,hapakau,hpk,hpk
喙䫌骨,tshuì-phué-kut,16,chhùi-phóe-kut,tshui3phue2kut4,chhui3phoe2kut4,tshuiphuekut,chhuiphoekut,tpk,cpk
喙脣彩,tshuì-tûn-tshái,16,chhùi-tûn-chhái,tshui3tun5tshai2,chhui3tun5chhai2,tshuituntshai,chhuitunchhai,ttt,ctc
喙脣痕,tshuì-tûn-hûn,16,chhùi-tûn-hûn,tshui3tun5hun5,chhui3tun5hun5,tshuitunhun,chhuitunhun,tth,cth
喙脣膏,tshuì-tûn-ko,16,chhùi-tûn-ko,tshui3tun5ko1,chhui3tun5ko1,tshuitunko,chhuitunko,ttk,ctk
喙脣膜,tshuì-tûn-mo̍oh,16,chhùi-tûn-mo̍͘h,tshui3tun5mooh8,chhui3tun5mooh8,tshuitunmooh,chhuitunmooh,ttm,ctm
喙脣蜜,tshuì-tûn-bi̍t,16,chhùi-tûn-bi̍t,tshui3tun5bit8,chhui3tun5bit8,tshuitunbit,chhuitunbit,ttb,ctb
單選鈕,tan-suán-liú,16,tan-soán-liú,tan1suan2liu2,tan1soan2liu2,tansuanliu,tansoanliu,tsl,tsl
